Model,Component,Epoch,Training Loss,Val Event Precision,Val Event Recall,Val Event F1,Val Loss
TRANSFORMER,Joint,24,1.2769,0.1202,0.3462,0.1092,1.2888
TRANSFORMER,Stage1,1,0.6492,0.3421,0.8023,0.4797,0.6241
TRANSFORMER,Stage1,2,0.6076,0.3348,0.924,0.4915,0.6209
TRANSFORMER,Stage1,3,0.5962,0.3334,0.8433,0.4779,0.6172
TRANSFORMER,Stage1,4,0.5949,0.3262,0.9927,0.491,0.6423
TRANSFORMER,Stage1,5,0.5936,0.3279,0.9889,0.4925,0.6275
TRANSFORMER,Stage1,6,0.5935,0.3387,0.8296,0.4811,0.6048
TRANSFORMER,Stage1,7,0.593,0.3495,0.8288,0.4916,0.5967
TRANSFORMER,Stage1,8,0.5921,0.3529,0.7015,0.4696,0.5874
TRANSFORMER,Stage1,9,0.5926,0.3489,0.8211,0.4897,0.5966
TRANSFORMER,Stage1,10,0.5917,0.3328,0.9197,0.4888,0.6053
TRANSFORMER,Stage1,11,0.5906,0.3265,0.9927,0.4914,0.611
TRANSFORMER,Stage1,12,0.5896,0.3397,0.8907,0.4919,0.6031
TRANSFORMER,Stage1,13,0.5899,0.3263,0.997,0.4917,0.6157
TRANSFORMER,Stage1,14,0.5912,0.3422,0.8715,0.4915,0.6007
TRANSFORMER,Stage1,15,0.5891,0.3364,0.9197,0.4926,0.6062
TRANSFORMER,Stage1,16,0.5893,0.3253,1.0,0.4909,0.6252
TRANSFORMER,Stage1,17,0.5894,0.3394,0.8851,0.4907,0.6048
TRANSFORMER,Stage1,18,0.5888,0.339,0.8958,0.4919,0.6053
TRANSFORMER,Stage2,1,1.1249,0.0996,0.3326,0.1035,1.1062
TRANSFORMER,Stage2,2,1.1137,0.3407,0.3573,0.2229,1.0966
TRANSFORMER,Stage2,3,1.1084,0.3446,0.3525,0.312,1.0972
TRANSFORMER,Stage2,4,1.1082,0.3406,0.3431,0.2437,1.1
TRANSFORMER,Stage2,5,1.1057,0.3335,0.3349,0.2926,1.1063
TRANSFORMER,Stage2,6,1.1044,0.3437,0.363,0.2289,1.0967
TRANSFORMER,Stage2,7,1.1004,0.3431,0.3607,0.3086,1.0966
TRANSFORMER,Stage2,8,1.1005,0.3635,0.3545,0.169,1.0966
TRANSFORMER,Stage2,9,1.0971,0.3485,0.3635,0.2425,1.0947
TRANSFORMER,Stage2,10,1.0949,0.3438,0.3554,0.2949,1.0988
TRANSFORMER,Stage2,11,1.0944,0.352,0.3747,0.2793,1.095
TRANSFORMER,Stage2,12,1.0939,0.342,0.3419,0.3413,1.0987
TRANSFORMER,Stage2,13,1.0946,0.3436,0.3624,0.2082,1.0959
TRANSFORMER,Stage2,14,1.0941,0.1045,0.347,0.1397,1.0967
TRANSFORMER,Stage2,15,1.0956,0.3449,0.357,0.3129,1.096
TRANSFORMER,Stage2,16,1.092,0.358,0.3693,0.1782,1.0958
TRANSFORMER,Stage2,17,1.0923,0.3477,0.3677,0.3045,1.0954
TRANSFORMER,Stage2,18,1.0914,0.3397,0.353,0.3083,1.0962
TRANSFORMER,Stage2,19,1.0911,0.3414,0.3699,0.1887,1.0957
CNN,Joint,1,1.3235,0.0326,0.3199,0.0565,1.3117
CNN,Joint,2,1.2897,0.1222,0.3444,0.1476,1.2995
CNN,Joint,3,1.2842,0.0369,0.346,0.0505,1.2941
CNN,Joint,4,1.2844,0.1222,0.3388,0.0654,1.269
CNN,Joint,5,1.2829,0.0345,0.351,0.0627,1.2706
CNN,Joint,6,1.281,0.1123,0.3387,0.1086,1.2666
CNN,Joint,7,1.2792,0.1192,0.3399,0.1335,1.2688
CNN,Joint,8,1.2779,0.1117,0.3594,0.082,1.2854
CNN,Joint,9,1.278,0.0376,0.3292,0.0658,1.2667
CNN,Joint,10,1.2782,0.111,0.3621,0.1532,1.2811
CNN,Joint,11,1.2747,0.1199,0.3586,0.1029,1.2841
CNN,Joint,12,1.2742,0.1005,0.342,0.0851,1.2826
CNN,Joint,13,1.27,0.1137,0.3634,0.0967,1.2762
CNN,Joint,14,1.2681,0.1086,0.3609,0.1182,1.2851
CNN,Joint,15,1.2672,0.1122,0.3616,0.1273,1.284
CNN,Joint,16,1.2652,0.1095,0.3464,0.1506,1.2785
CNN,Stage1,1,0.6038,0.3403,0.9155,0.4962,0.6151
CNN,Stage1,2,0.5918,0.3482,0.819,0.4887,0.5977
CNN,Stage1,3,0.5909,0.3497,0.813,0.4891,0.5923
CNN,Stage1,4,0.5897,0.3386,0.9172,0.4946,0.6008
CNN,Stage1,5,0.5895,0.3332,0.9522,0.4937,0.6074
CNN,Stage1,6,0.5892,0.339,0.9125,0.4943,0.6042
CNN,Stage1,7,0.5895,0.3293,0.7592,0.4593,0.6025
CNN,Stage1,8,0.5885,0.3507,0.8087,0.4893,0.5902
CNN,Stage1,9,0.589,0.3423,0.8693,0.4912,0.606
CNN,Stage1,10,0.5875,0.3344,0.9137,0.4896,0.6077
CNN,Stage1,11,0.5881,0.3392,0.924,0.4962,0.6074
CNN,Stage1,12,0.588,0.333,0.8877,0.4843,0.6022
CNN,Stage1,13,0.5877,0.3507,0.8087,0.4893,0.5916
CNN,Stage1,14,0.5876,0.3305,0.9308,0.4878,0.6062
CNN,Stage1,15,0.5869,0.3487,0.8326,0.4916,0.597
CNN,Stage1,16,0.5872,0.3446,0.8553,0.4913,0.6026
CNN,Stage1,17,0.5875,0.3369,0.9022,0.4906,0.6123
CNN,Stage1,18,0.5873,0.3332,0.9129,0.4882,0.6104
CNN,Stage2,1,1.1324,0.3417,0.359,0.2765,1.0996
CNN,Stage2,2,1.1133,0.1067,0.3642,0.1642,1.0977
CNN,Stage2,3,1.1032,0.1087,0.372,0.1683,1.0969
CNN,Stage2,4,1.1043,0.3438,0.36,0.2102,1.0968
CNN,Stage2,5,1.0976,0.3383,0.3491,0.199,1.1002
CNN,Stage2,6,1.0962,0.3465,0.3558,0.1679,1.1054
CNN,Stage2,7,1.096,0.338,0.3504,0.2029,1.1008
CNN,Stage2,8,1.0933,0.3587,0.3752,0.2362,1.0908
CNN,Stage2,9,1.091,0.3422,0.3485,0.2824,1.0926
CNN,Stage2,10,1.0894,0.3504,0.3665,0.2855,1.0934
CNN,Stage2,11,1.0884,0.3532,0.374,0.2357,1.0911
CNN,Stage2,12,1.0877,0.3464,0.3597,0.2902,1.094
CNN,Stage2,13,1.085,0.4046,0.3626,0.1586,1.1048
CNN,Stage2,14,1.0875,0.3762,0.3765,0.1703,1.0934
CNN,Stage2,15,1.0786,0.3474,0.3651,0.2964,1.1026
CNN,Stage2,16,1.0741,0.3349,0.3489,0.1894,1.0959
CNN,Stage2,17,1.0734,0.3329,0.3587,0.1794,1.0946
CNN,Stage2,18,1.0696,0.3401,0.3568,0.2515,1.1016
