Model,Component,Epoch,Training Loss,Val Event Precision,Val Event Recall,Val Event F1,Val Loss
CNN,Stage1,14,0.1472,0.8188,0.9152,0.8644,0.1483
CNN,Stage1,15,0.1419,0.8285,0.908,0.8664,0.1554
CNN,Stage1,16,0.1406,0.8003,0.9315,0.8609,0.1598
CNN,Stage1,17,0.1405,0.8048,0.9392,0.8669,0.1445
CNN,Stage1,18,0.1347,0.8677,0.8729,0.8703,0.1594
CNN,Stage1,19,0.1325,0.7628,0.9568,0.8488,0.172
CNN,Stage1,20,0.1347,0.75,0.9491,0.8379,0.1743
CNN,Stage1,21,0.1342,0.7684,0.9315,0.8421,0.1756
CNN,Stage1,22,0.1395,0.7719,0.9632,0.857,0.1844
CNN,Stage1,23,0.1349,0.7921,0.9362,0.8582,0.1821
CNN,Stage1,24,0.121,0.7841,0.9439,0.8566,0.1495
CNN,Stage1,25,0.1168,0.8269,0.9225,0.8721,0.1551
CNN,Stage1,26,0.1148,0.8212,0.9238,0.8695,0.1446
CNN,Stage1,27,0.1141,0.79,0.9628,0.8678,0.1659
CNN,Stage2,1,0.2645,0.9118,0.9388,0.9154,0.1807
CNN,Stage2,2,0.1613,0.9099,0.9384,0.9145,0.1773
CNN,Stage2,3,0.1621,0.9118,0.9388,0.9154,0.181
CNN,Stage2,4,0.166,0.9108,0.9386,0.915,0.1791
CNN,Stage2,5,0.1599,0.9118,0.9388,0.9154,0.1805
CNN,Stage2,6,0.1569,0.9081,0.9343,0.9121,0.1937
CNN,Stage2,7,0.157,0.9118,0.9388,0.9154,0.1827
CNN,Stage2,8,0.1614,0.9072,0.9378,0.9131,0.1838
CNN,Stage2,9,0.1546,0.9118,0.9388,0.9154,0.1822
CNN,Stage2,10,0.1468,0.9069,0.9328,0.911,0.1877
CNN,Stage2,11,0.1438,0.9106,0.9373,0.9143,0.18
CNN,Stage2,12,0.1383,0.9106,0.9373,0.9143,0.1936
