log_stem,log_relpath,model,final_val_accuracy,max_val_accuracy,best_epoch,epochs_trained,final_val_loss,params,memory_mb,training_time_s,early_stopping,lr_reductions,no_thrust_precision,no_thrust_recall,no_thrust_f1,chemical_precision,chemical_recall,chemical_f1,electric_precision,electric_recall,electric_f1,impulsive_precision,impulsive_recall,impulsive_f1,macro_avg_precision,macro_avg_recall,macro_avg_f1,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1,t_no_thrust_precision,t_no_thrust_recall,t_no_thrust_f1,t_chemical_precision,t_chemical_recall,t_chemical_f1,t_electric_precision,t_electric_recall,t_electric_f1,t_impulsive_precision,t_impulsive_recall,t_impulsive_f1
100min1500SeqData_Std_Test_leo_Seed1,geo/100min-1500/100min1500SeqData_Std_Test_leo_Seed1.log,Decision Trees (LightGBM),24.89,24.89,1,1,1.4149,,0.4407358169555664,2.1564,False,0,0.0,0.0,0.0,0.2496,0.7778,0.378,0.2426,0.1467,0.1828,0.254,0.0711,0.1111,0.1866,0.2489,0.168,0.1866,0.2489,0.168,0.0,175.0,34.0,0.0,175.0,35.0,0.0,176.0,33.0,0.0,175.0,34.0
100min1500SeqData_Std_Test_leo_Seed1,geo/100min-1500/100min1500SeqData_Std_Test_leo_Seed1.log,MiniRocket,24.67,24.67,1,1,,9996.0,0.5914,30.262,False,0,0.0,0.0,0.0,0.2447,0.5156,0.3319,0.0,0.0,0.0,0.2488,0.4711,0.3257,0.1234,0.2467,0.1644,0.1234,0.2467,0.1644,0.0,119.0,0.0,0.0,116.0,0.0,0.0,120.0,0.0,0.0,119.0,0.0
100min1500SeqData_Std_Test_leo_Seed1,geo/100min-1500/100min1500SeqData_Std_Test_leo_Seed1.log,LSTM,24.67,25.0,1,25,1.3863,28660.0,0.218658447265625,133.389,True,0,0.0,0.0,0.0,0.2433,0.3644,0.2918,0.25,0.0133,0.0253,0.2486,0.6089,0.3531,0.1855,0.2467,0.1676,0.1855,0.2467,0.1676,0.0,85.0,3.0,0.0,82.0,3.0,0.0,85.0,3.0,0.0,85.0,3.0
100min1500SeqData_Std_Test_leo_Seed1,geo/100min-1500/100min1500SeqData_Std_Test_leo_Seed1.log,Mamba,25.0,25.0,1,13,1.3863,12208.0,0.0931396484375,53.371,True,0,0.2512,0.2267,0.2383,0.25,0.3956,0.3064,0.2489,0.2622,0.2554,0.25,0.1156,0.1581,0.25,0.25,0.2395,0.25,0.25,0.2395,51.0,89.0,59.0,50.0,89.0,60.0,51.0,89.0,59.0,51.0,89.0,59.0
100min1500SeqData_Std_Test_leo_Seed1,geo/100min-1500/100min1500SeqData_Std_Test_leo_Seed1.log,Transformer,25.11,25.11,48,48,1.3863,213092.0,1.625762939453125,87.7446,True,0,0.3333,0.0133,0.0256,0.0,0.0,0.0,0.0,0.0,0.0,0.2503,0.9911,0.3996,0.1459,0.2511,0.1063,0.1459,0.2511,0.1063,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0
100min1500SeqData_Std_Test_leo_Seed1,geo/100min-1500/100min1500SeqData_Std_Test_leo_Seed1.log,1D-CNN (InceptionTime),25.0,25.0,1,28,1.3865,472708.0,3.606475830078125,301.1191,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.4,0.0,0.0,0.0,0.0625,0.25,0.1,0.0625,0.25,0.1,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0
100min1500SeqData_Std_Test_leo_Seed2,geo/100min-1500/100min1500SeqData_Std_Test_leo_Seed2.log,Decision Trees (LightGBM),25.22,25.22,1,1,1.4027,,0.4402923583984375,2.1291,False,0,0.2479,0.1333,0.1734,0.2543,0.5867,0.3548,0.2513,0.2133,0.2308,0.2464,0.0756,0.1156,0.25,0.2522,0.2187,0.25,0.2522,0.2187,30.0,129.0,48.0,31.0,132.0,46.0,30.0,129.0,48.0,30.0,129.0,49.0
100min1500SeqData_Std_Test_leo_Seed2,geo/100min-1500/100min1500SeqData_Std_Test_leo_Seed2.log,MiniRocket,25.0,25.0,1,1,,9996.0,0.5911,29.0596,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.4,0.0625,0.25,0.1,0.0625,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100min1500SeqData_Std_Test_leo_Seed2,geo/100min-1500/100min1500SeqData_Std_Test_leo_Seed2.log,LSTM,25.0,25.0,1,13,1.3864,28660.0,0.218658447265625,67.5778,True,0,0.0,0.0,0.0,0.25,0.3289,0.2841,0.0,0.0,0.0,0.25,0.6711,0.3643,0.125,0.25,0.1621,0.125,0.25,0.1621,0.0,74.0,0.0,0.0,74.0,0.0,0.0,74.0,0.0,0.0,74.0,0.0
100min1500SeqData_Std_Test_leo_Seed2,geo/100min-1500/100min1500SeqData_Std_Test_leo_Seed2.log,Mamba,25.22,25.22,26,26,1.3863,12208.0,0.0931396484375,108.9421,True,0,0.2506,0.4667,0.3261,0.2542,0.4,0.3109,0.2533,0.0844,0.1267,0.25,0.0578,0.0939,0.252,0.2522,0.2144,0.252,0.2522,0.2144,105.0,88.0,19.0,104.0,90.0,18.0,105.0,88.0,19.0,105.0,88.0,19.0
