Model,Component,Epoch,Training Loss,Val Event Precision,Val Event Recall,Val Event F1,Val Loss
LSTM,Stage2,15,0.0808,0.9765,0.9676,0.9717,0.0873
LSTM,Stage2,16,0.071,0.9663,0.9742,0.9702,0.0629
LSTM,Stage2,17,0.0662,0.9764,0.9821,0.9792,0.0492
LSTM,Stage2,18,0.0509,0.9403,0.9753,0.9554,0.0584
LSTM,Stage2,19,0.0672,0.9747,0.9771,0.9759,0.0532
LSTM,Stage2,20,0.0472,0.9851,0.9821,0.9836,0.0437
LSTM,Stage2,21,0.0778,0.9538,0.9769,0.9644,0.0577
LSTM,Stage2,22,0.0433,0.9873,0.9854,0.9863,0.0328
LSTM,Stage2,23,0.0456,0.9579,0.9767,0.9666,0.0591
LSTM,Stage2,24,0.0514,0.9683,0.9831,0.9754,0.0465
LSTM,Stage2,25,0.0472,0.9894,0.9769,0.9829,0.056
LSTM,Stage2,26,0.0353,0.9935,0.991,0.9923,0.0274
LSTM,Stage2,27,0.0495,0.8908,0.9517,0.911,0.1348
LSTM,Stage2,28,0.0628,0.9898,0.9893,0.9895,0.0287
LSTM,Stage2,29,0.0339,0.9853,0.9809,0.9831,0.0429
LSTM,Stage2,30,0.035,0.981,0.9918,0.9862,0.0286
LSTM,Stage2,31,0.0531,0.9853,0.9909,0.9881,0.0271
LSTM,Stage2,32,0.0335,0.9908,0.9864,0.9886,0.0403
LSTM,Stage2,33,0.0387,0.9724,0.9834,0.9777,0.0345
LSTM,Stage2,34,0.0278,0.9694,0.9867,0.9775,0.0319
LSTM,Stage2,35,0.0305,0.9839,0.9824,0.9832,0.0397
LSTM,Stage2,36,0.0365,0.9846,0.9884,0.9865,0.0334
LSTM,Stage2,37,0.0458,0.9913,0.9787,0.9847,0.0507
LSTM,Stage2,38,0.0188,0.9953,0.9948,0.995,0.0169
LSTM,Stage2,39,0.0134,0.9822,0.9902,0.9861,0.0206
LSTM,Stage2,40,0.0154,0.9833,0.9919,0.9875,0.0184
LSTM,Stage2,41,0.0161,0.9685,0.9858,0.9766,0.0332
LSTM,Stage2,42,0.0134,0.9875,0.9938,0.9906,0.0166
LSTM,Stage2,43,0.0113,0.9948,0.9933,0.9941,0.0172
LSTM,Stage2,44,0.0182,0.9872,0.9717,0.9791,0.1061
LSTM,Stage2,45,0.0253,0.9847,0.9942,0.9893,0.0192
LSTM,Stage2,46,0.0108,0.9911,0.9955,0.9932,0.013
LSTM,Stage2,47,0.0167,0.9816,0.992,0.9866,0.0185
LSTM,Stage2,48,0.0117,0.987,0.9923,0.9896,0.0225
LSTM,Stage2,49,0.0123,0.9959,0.9923,0.9941,0.0157
LSTM,Stage2,50,0.0103,0.993,0.9824,0.9875,0.0585
LSTM,Stage2,51,0.0231,0.9963,0.9937,0.995,0.0145
LSTM,Stage2,52,0.0102,0.9939,0.9944,0.9941,0.0141
LSTM,Stage2,53,0.0066,0.9862,0.9953,0.9906,0.0126
LSTM,Stage2,54,0.0053,0.9947,0.9972,0.9959,0.0106
LSTM,Stage2,55,0.0048,0.9961,0.9976,0.9968,0.0093
LSTM,Stage2,56,0.0054,0.9961,0.9976,0.9968,0.0085
LSTM,Stage2,57,0.0046,0.9971,0.9966,0.9968,0.0127
LSTM,Stage2,58,0.0053,0.994,0.997,0.9955,0.0111
LSTM,Stage2,59,0.008,0.994,0.997,0.9955,0.011
LSTM,Stage2,60,0.0051,0.9978,0.9968,0.9973,0.009
LSTM,Stage2,61,0.0041,0.9972,0.9946,0.9959,0.011
LSTM,Stage2,62,0.0064,0.9936,0.9956,0.9946,0.0135
LSTM,Stage2,63,0.0031,0.9971,0.9966,0.9968,0.0091
LSTM,Stage2,64,0.0026,0.9975,0.998,0.9977,0.0086
LSTM,Stage2,65,0.0026,0.9959,0.9969,0.9964,0.01
LSTM,Stage2,66,0.0028,0.9968,0.9978,0.9973,0.008
LSTM,Stage2,67,0.0025,0.9973,0.9973,0.9973,0.0087
LSTM,Stage2,68,0.0025,0.9949,0.9979,0.9964,0.0073
LSTM,Stage2,69,0.0024,0.9968,0.9978,0.9973,0.0072
LSTM,Stage2,70,0.0033,0.9973,0.9973,0.9973,0.0103
LSTM,Stage2,71,0.0029,0.9971,0.9966,0.9968,0.0092
LSTM,Stage2,72,0.0023,0.9959,0.9969,0.9964,0.0097
LSTM,Stage2,73,0.0025,0.9945,0.9965,0.9955,0.0075
LSTM,Stage2,74,0.0019,0.9969,0.9959,0.9964,0.0128
LSTM,Stage2,75,0.0023,0.9943,0.9958,0.995,0.0094
LSTM,Stage2,76,0.0017,0.9975,0.998,0.9977,0.0074
LSTM,Stage2,77,0.0015,0.9975,0.998,0.9977,0.0077
LSTM,Stage2,78,0.0016,0.9975,0.998,0.9977,0.007
LSTM,Stage2,79,0.0016,0.9975,0.998,0.9977,0.0071
LSTM,Stage2,80,0.0015,0.9975,0.998,0.9977,0.0075
LSTM,Stage2,81,0.0014,0.9975,0.998,0.9977,0.0066
LSTM,Stage2,82,0.0013,0.9963,0.9983,0.9973,0.0082
LSTM,Stage2,83,0.0015,0.9982,0.9982,0.9982,0.0068
LSTM,Stage2,84,0.0013,0.9976,0.9961,0.9968,0.0088
LSTM,Stage2,85,0.0014,0.9973,0.9973,0.9973,0.0064
LSTM,Stage2,86,0.0013,0.9978,0.9968,0.9973,0.0074
LSTM,Stage2,87,0.0013,0.9961,0.9976,0.9968,0.0066
LSTM,Stage2,88,0.0011,0.9978,0.9968,0.9973,0.0081
LSTM,Stage2,89,0.0012,0.998,0.9975,0.9977,0.0077
LSTM,Stage2,90,0.0012,0.9966,0.9971,0.9968,0.0081
LSTM,Stage2,91,0.0011,0.9959,0.9969,0.9964,0.0072
LSTM,Stage2,92,0.001,0.9975,0.998,0.9977,0.0066
LSTM,Stage2,93,0.001,0.9975,0.998,0.9977,0.0068
LSTM,Stage2,94,0.001,0.9968,0.9978,0.9973,0.0066
LSTM,Stage2,95,0.0009,0.9982,0.9982,0.9982,0.0072
MAMBA,Joint,1,1.3642,0.1169,0.3824,0.1572,1.3183
MAMBA,Joint,2,1.1686,0.1819,0.5377,0.2669,1.0973
MAMBA,Joint,3,1.047,0.2041,0.5959,0.3005,1.0433
MAMBA,Joint,4,0.9933,0.1863,0.588,0.261,1.0072
MAMBA,Joint,5,0.9524,0.1929,0.5978,0.2745,0.9546
MAMBA,Joint,6,0.9167,0.2142,0.6289,0.306,0.9216
