log_stem,log_relpath,model,final_val_accuracy,max_val_accuracy,best_epoch,epochs_trained,final_val_loss,params,memory_mb,training_time_s,early_stopping,lr_reductions,no_thrust_precision,no_thrust_recall,no_thrust_f1,chemical_precision,chemical_recall,chemical_f1,electric_precision,electric_recall,electric_f1,impulsive_precision,impulsive_recall,impulsive_f1,macro_avg_precision,macro_avg_recall,macro_avg_f1,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1,t_no_thrust_precision,t_no_thrust_recall,t_no_thrust_f1,t_chemical_precision,t_chemical_recall,t_chemical_f1,t_electric_precision,t_electric_recall,t_electric_f1,t_impulsive_precision,t_impulsive_recall,t_impulsive_f1,0_precision,0_recall,0_f1,1_precision,1_recall,1_f1,2_precision,2_recall,2_f1,3_precision,3_recall,3_f1
30min800Norm_Noise_Train_640,vleo/30min-800/30min800Norm_Noise_Train_640.log,Transformer,24.84,25.62,44,60,1.3863,41940,0.319976806640625,28.0706,True,0,0.25,0.3063,0.2753,0.2517,0.2375,0.2444,0.2521,0.375,0.3015,0.2182,0.075,0.1116,0.243,0.2484,0.2332,0.243,0.2484,0.2332,49.0,37.0,60.0,48.0,38.0,60.0,48.0,37.0,60.0,51.0,39.0,58.0,,,,,,,,,,,,
30min800Norm_Noise_Train_640,vleo/30min-800/30min800Norm_Noise_Train_640.log,MLP,25.16,25.31,60,101,0.277,708,0.005401611328125,6.0533,False,0,,,,,,,,,,,,,0.2514,0.2516,0.25,0.2514,0.2516,0.25,34.0,48.0,34.0,34.0,48.0,34.0,34.0,48.0,34.0,34.0,47.0,34.0,0.25,0.2125,0.2297,0.2513,0.3,0.2735,0.25,0.2125,0.2297,0.2542,0.2812,0.2671
10min800Norm_Noise_Train_640,vleo/10min-800/10min800Norm_Noise_Train_640.log,Decision Trees,25.0,25.0,1,1,1.3935,0,0.34286022186279297,0.1799,False,0,0.252,0.2,0.223,0.25,0.2562,0.2531,0.2443,0.2,0.2199,0.2523,0.3438,0.291,0.2496,0.25,0.2468,0.2496,0.25,0.2468,32.0,43.0,32.0,31.0,41.0,32.0,32.0,42.0,32.0,32.0,38.0,35.0,,,,,,,,,,,,
10min800Norm_Noise_Train_640,vleo/10min-800/10min800Norm_Noise_Train_640.log,Nearest Neighbor,27.19,27.19,1,1,,0,3.4248,0.0616,False,0,0.2578,0.3625,0.3013,0.2577,0.1562,0.1946,0.2568,0.4688,0.3319,0.6154,0.1,0.172,0.3469,0.2719,0.2499,0.3469,0.2719,0.2499,58.0,24.0,75.0,56.0,25.0,75.0,58.0,24.0,75.0,53.0,24.0,67.0,,,,,,,,,,,,
10min800Norm_Noise_Train_640,vleo/10min-800/10min800Norm_Noise_Train_640.log,LSTM,25.0,25.0,1,19,1.3863,18004,0.137359619140625,3.5045,True,0,0.25,0.1,0.1429,0.0,0.0,0.0,0.25,0.8,0.381,0.25,0.1,0.1429,0.1875,0.25,0.1667,0.1875,0.25,0.1667,16.0,0.0,128.0,16.0,0.0,128.0,16.0,0.0,128.0,16.0,0.0,128.0,,,,,,,,,,,,
10min800Norm_Noise_Train_640,vleo/10min-800/10min800Norm_Noise_Train_640.log,Mamba,25.0,25.16,36,101,1.3864,6106,0.0465850830078125,34.3108,False,0,0.24,0.0375,0.0649,0.2521,0.375,0.3015,0.249,0.3937,0.3051,0.25,0.1938,0.2183,0.2478,0.25,0.2224,0.2478,0.25,0.2224,6.0,60.0,63.0,6.0,60.0,63.0,6.0,60.0,63.0,7.0,58.0,64.0,,,,,,,,,,,,
10min800Norm_Noise_Train_640,vleo/10min-800/10min800Norm_Noise_Train_640.log,Transformer,25.0,25.16,49,57,1.3863,41940,0.319976806640625,26.9062,True,0,0.25,0.4,0.3077,0.25,0.1875,0.2143,0.25,0.3625,0.2959,0.25,0.05,0.0833,0.25,0.25,0.2253,0.25,0.25,0.2253,64.0,30.0,58.0,64.0,30.0,58.0,64.0,30.0,58.0,64.0,30.0,58.0,,,,,,,,,,,,
10min800Norm_Noise_Train_640,vleo/10min-800/10min800Norm_Noise_Train_640.log,MLP,25.16,25.31,62,101,0.2759,708,0.005401611328125,5.9568,False,0,,,,,,,,,,,,,0.2516,0.2516,0.2471,0.2516,0.2516,0.2471,58.0,35.0,28.0,58.0,35.0,28.0,58.0,35.0,28.0,58.0,34.0,28.0,0.25,0.3625,0.2959,0.2518,0.2188,0.2341,0.25,0.175,0.2059,0.2548,0.25,0.2524
10min800OE_Norm_Noise_Train_640,vleo/10min-800/10min800OE_Norm_Noise_Train_640.log,Decision Trees,64.06,64.06,1,1,0.8144,0,0.3354053497314453,0.1048,False,0,0.4575,0.4375,0.4473,0.6345,0.7812,0.7003,0.4524,0.3563,0.3986,0.9634,0.9875,0.9753,0.627,0.6406,0.6304,0.627,0.6406,0.6304,70.0,36.0,54.0,14.0,125.0,15.0,69.0,34.0,57.0,0.0,2.0,0.0,,,,,,,,,,,,
10min800OE_Norm_Noise_Train_640,vleo/10min-800/10min800OE_Norm_Noise_Train_640.log,Nearest Neighbor,41.56,41.56,1,1,,0,3.4248,0.0627,False,0,0.3429,0.225,0.2717,0.3073,0.4188,0.3545,0.3308,0.275,0.3003,0.6467,0.7438,0.6919,0.4069,0.4156,0.4046,0.4069,0.4156,0.4046,36.0,65.0,43.0,25.0,67.0,34.0,39.0,62.0,44.0,5.0,24.0,12.0,,,,,,,,,,,,
10min800OE_Norm_Noise_Train_640,vleo/10min-800/10min800OE_Norm_Noise_Train_640.log,LSTM,50.94,52.5,21,31,0.9699,18004,0.137359619140625,5.961,True,0,0.3772,0.7875,0.5101,0.4842,0.2875,0.3608,0.0,0.0,0.0,0.744,0.9625,0.8392,0.4014,0.5094,0.4275,0.4014,0.5094,0.4275,126.0,22.0,0.0,77.0,46.0,4.0,129.0,23.0,0.0,2.0,4.0,0.0,,,,,,,,,,,,
10min800OE_Norm_Noise_Train_640,vleo/10min-800/10min800OE_Norm_Noise_Train_640.log,Mamba,54.69,55.94,81,90,0.9153,6106,0.0465850830078125,30.6351,True,0,0.3605,0.1938,0.252,0.5195,0.5,0.5096,0.3712,0.5312,0.437,0.9006,0.9625,0.9305,0.5379,0.5469,0.5323,0.5379,0.5469,0.5323,31.0,32.0,94.0,21.0,80.0,49.0,32.0,39.0,85.0,2.0,3.0,1.0,,,,,,,,,,,,
10min800OE_Norm_Noise_Train_640,vleo/10min-800/10min800OE_Norm_Noise_Train_640.log,Transformer,49.38,51.56,33,36,0.9842,41940,0.319976806640625,17.0993,True,0,0.368,0.775,0.499,0.4382,0.2437,0.3133,0.4,0.025,0.0471,0.7304,0.9313,0.8187,0.4841,0.4938,0.4195,0.4841,0.4938,0.4195,124.0,20.0,1.0,89.0,39.0,5.0,122.0,21.0,4.0,2.0,9.0,0.0,,,,,,,,,,,,
10min800OE_Norm_Noise_Train_640,vleo/10min-800/10min800OE_Norm_Noise_Train_640.log,MLP,41.41,42.5,38,73,0.2441,644,0.004913330078125,4.5023,True,0,,,,,,,,,,,,,0.4044,0.4141,0.4063,0.4044,0.4141,0.4063,56.0,49.0,40.0,53.0,49.0,31.0,59.0,47.0,38.0,9.0,24.0,5.0,0.3164,0.35,0.3323,0.2899,0.3063,0.2979,0.3333,0.2375,0.2774,0.6778,0.7625,0.7176
